id,price,lat,long
1310440590,440000,47.435,-122.107
1437580480,994000,47.611,-121.992
7617500075,427000,47.7676,-122.373
8122100130,415000,47.5362,-122.376
4476400275,335000,47.4601,-122.36
8651442440,164000,47.3638,-122.091
3066410800,685000,47.6288,-122.043
4366700140,241000,47.3006,-122.066
8581400450,159995,47.297,-122.225
4222700130,279000,47.3431,-122.305
8944360170,517500,47.5776,-121.996
259800750,455000,47.6285,-122.117
3204300625,785950,47.6287,-122.3
2557000380,287500,47.2986,-122.372
5379802650,273000,47.4549,-122.287
3810000202,251700,47.4997,-122.231
2946001645,232000,47.4204,-122.324
5631500213,342400,47.7352,-122.232
6819100020,1.43E+06,47.6437,-122.356
2461900492,368000,47.5534,-122.382
3630080120,358000,47.5535,-121.997
6071800480,271950,47.5467,-122.173
305500140,365000,47.4362,-122.178
226039316,941500,47.7757,-122.391
7137970210,289999,47.3248,-122.169
546000910,620000,47.6885,-122.38
1336800015,1.51E+06,47.6283,-122.312
3629830050,620000,47.547,-122.01
1042700270,852880,47.6072,-122.054
1324079029,200000,47.5621,-121.862
8567300110,485000,47.4052,-122.028
5153200356,280000,47.3303,-122.351
3879900753,727000,47.6276,-122.359
4038700680,750000,47.6154,-122.115
9187200245,441000,47.6033,-122.295
3277801417,341000,47.5443,-122.375
1115300270,900000,47.5211,-122.157
1311000270,247000,47.3398,-122.286
9187200345,599000,47.6025,-122.294
7788000100,393000,47.5172,-122.17
7997200130,649950,47.6949,-122.389
1737300130,610000,47.7692,-122.219
7889000160,222000,47.285,-122.207
9238430660,653000,47.775,-122.124
3298700946,340000,47.5185,-122.352
1438000120,542525,47.4786,-122.122
1251200055,1.34E+06,47.5928,-122.29
8731950080,420000,47.3103,-122.382
8127700132,1.24E+06,47.6423,-122.394
7147400045,355000,47.445,-122.285
2724069169,499900,47.5338,-122.033
7129302685,699000,47.5153,-122.256
2395710010,376000,47.3772,-122.029
7137300245,475000,47.5922,-122.297
2978800120,469000,47.7756,-122.372
7203140180,429000,47.6866,-122.013
8805900570,808000,47.6419,-122.306
8035600590,335000,47.4141,-122.204
3343901440,379000,47.5157,-122.191
3396800280,637000,47.7159,-122.1
2725069150,710000,47.6249,-122.024
9103000715,1.35E+06,47.6189,-122.286
8068000440,399000,47.5091,-122.262
2128000180,600000,47.6976,-122.169
6190701483,364000,47.7496,-122.355
2525049266,1.76E+06,47.6189,-122.23
2436200715,484000,47.6624,-122.291
7768800280,870515,47.5755,-122.071
2872100385,460000,47.6826,-122.394
1562000050,650000,47.6208,-122.139
5468770250,303000,47.3504,-122.141
2481630070,914600,47.7336,-122.134
84000105,255000,47.4877,-122.335
6762700340,852000,47.6288,-122.321
9406530160,320000,47.3627,-122.04
8085400490,1.31E+06,47.6341,-122.208
6821102385,334000,47.6485,-122.397
5468700105,415000,47.7535,-122.334
